id,objective,theta0,theta1
1,7.884044080000001,6.804867323207682,5.904316284104147,
2,5.141506768968165,4.495368056294982,3.9480554857828967,
3,3.484453717361754,3.091759284120213,2.7591269940750873,
4,2.477370414366691,2.238708166037748,2.0365490227219953,
5,1.8653098782309487,1.720261555780217,1.5973982005100058,
6,1.4933266482631193,1.4051727152758895,1.3305018207486168,
7,1.26725175009878,1.2136757019941455,1.168294046273931,
8,1.1298534604381512,1.097292316161969,1.069711359901215,
9,1.0463488778641796,1.0265596594712203,1.009797178328013,
10,0.9955984985976234,0.9835714899248749,0.9733839978227172,
11,0.9647546704350458,0.957445188335144,0.9512536827671539,
12,0.9460091605596244,0.94156678174187,0.9378038594432249,
13,0.9346164716029447,0.9319165909149951,0.9296296537443608,
14,0.9276925008746898,0.9260516332161206,0.9246617343005052,
15,0.9234844187592164,0.9224871722197849,0.9216424533440608,
16,0.9209269332085782,0.9203208510207702,0.9198074683776238,
17,0.9193726069948206,0.9190042571396398,0.918692245953602,
18,0.9184279565047431,0.9182040898105219,0.9180144632590355,
19,0.9178538398614648,0.9177177836201577,0.9176025370179919,
20,0.9175049172455856,0.9174222283004392,0.9173521865304088,
21,0.9172928575652088,0.9172426028941725,0.9172000346148764,
22,0.9171639771029105,0.9171334345442099,0.917107563433279,
23,0.9170856492777766,0.9170670868661093,0.9170513635530722,
24,0.9170380451019318,0.9170267636919401,0.9170172077600942,
25,0.9170091133965772,0.917002257056265,0.9169964493849911,
26,0.9169915299900824,0.9169873630107329,0.9169838333658826,
27,0.9169808435759856,0.9169783110708716,0.9169761659093816,
28,0.916974348847772,0.9169728097035592,0.9169715059696097,
29,0.9169704016402066,0.9169694662166619,0.9169686738650296,
30,0.9169680027026296,0.9169674341937146,0.916966952637557,
31,0.916966544734837,0.9169661992203493,0.9169659065518896,
32,0.9169656586467194,0.9169654486583483,0.9169652707874469,
33,0.9169651201216864,0.9169649925000745,0.9169648843980347,
34,0.9169647928300723,
